,pickup_longitude,pickup_latitude,region
3623406,-73.93875122070312,40.79591751098633,0
13324080,-73.93827819824217,40.80317306518555,0
28478861,-73.95276641845702,40.810745239257805,0
26255147,-73.94854736328125,40.8032455444336,0
26043737,-73.95265197753906,40.808067321777344,0
18037564,-73.9588623046875,40.81534957885742,0
7742427,-73.9494400024414,40.812618255615234,0
9947945,-73.945556640625,40.80034637451172,0
2849299,-73.93382263183594,40.80251693725586,0
23688706,-73.93765258789062,40.7969207763672,0
25456849,-73.96324920654298,40.81095123291016,0
16646976,-73.94200897216798,40.798099517822266,0
29192053,-73.93728637695312,40.81011962890625,0
13312623,-73.9480209350586,40.793018341064446,0
1381292,-73.9568862915039,40.80250549316406,0
7704706,-73.94991302490233,40.80195999145508,0
18210990,-73.94425201416014,40.791481018066406,0
13942882,-73.96131134033203,40.80666732788086,0
23419048,-73.959228515625,40.809478759765625,0
20372068,-73.95179748535155,40.81214141845703,0
20779941,-73.95579528808595,40.80386352539063,0
14776969,-73.95900726318358,40.81494903564453,0
21363526,-73.93340301513672,40.79513168334961,0
30465679,-73.96282958984375,40.805084228515625,0
6465614,-73.93546295166014,40.79584884643555,0
27829747,-73.93462371826173,40.801372528076165,0
31375916,-73.9417724609375,40.791606903076165,0
20229134,-73.9505386352539,40.79510116577149,0
20706778,-73.96443939208984,40.80723571777344,0
13128634,-73.9578857421875,40.80119323730469,0
23062401,-73.9407958984375,40.80842971801758,0
16929975,-73.95418548583984,40.80389404296875,0
30107061,-73.94200134277342,40.7979850769043,0
12543339,-73.9623031616211,40.80504989624024,0
31591467,-73.9578628540039,40.80110931396485,0
6140315,-73.95264434814453,40.808250427246094,0
16228638,-73.95122528076173,40.794044494628906,0
13440405,-73.94103240966798,40.79264068603516,0
13392689,-73.93785858154298,40.79701614379882,0
16436991,-73.93788146972656,40.79695129394531,0
19728755,-73.94136810302734,40.80879974365234,0
1211841,-73.94343566894531,40.81080627441406,0
23459023,-73.9586639404297,40.80239868164063,0
28803079,-73.96117401123048,40.81184768676758,0
31635025,-73.93925476074217,40.80509185791016,0
31671817,-73.96292114257811,40.80416870117188,0
9598462,-73.94666290283203,40.79177474975586,0
33200224,-73.96375274658203,40.8081512451172,0
31546252,-73.95323181152342,40.80596923828125,0
6790620,-73.94103240966798,40.792644500732415,0
28457515,-73.9351806640625,40.800758361816406,0
14242814,-73.9529571533203,40.806278228759766,0
27801497,-73.94895172119139,40.7974090576172,0
32700952,-73.93994903564453,40.79378128051758,0
7595735,-73.95352935791014,40.80693054199219,0
8078293,-73.92504119873048,40.81010055541992,0
19453593,-73.9500732421875,40.793018341064446,0
16031245,-73.94215393066406,40.79791259765625,0
8383125,-73.9345703125,40.80323028564453,0
19867825,-73.9352035522461,40.80070877075195,0
2631022,-73.96013641357422,40.80134201049805,0
2624436,-73.96224975585938,40.81052017211913,0
25488462,-73.93590545654298,40.799652099609375,0
13607762,-73.95990753173827,40.808197021484375,0
8200990,-73.92588043212889,40.807861328125,0
24950353,-73.96256256103516,40.80465698242188,0
8292455,-73.93805694580078,40.796630859375,0
24046938,-73.94454956054686,40.7946891784668,0
26030812,-73.95313262939453,40.8074607849121,0
4323056,-73.94054412841797,40.79317474365234,0
17583951,-73.96390533447266,40.808349609375,0
16490482,-73.93890380859375,40.80266952514648,0
3656103,-73.96239471435547,40.81032180786133,0
31738144,-73.95868682861328,40.800811767578125,0
3039777,-73.9355926513672,40.796966552734375,0
20272410,-73.96379089355469,40.808460235595696,0
11177836,-73.96347808837889,40.80887985229492,0
8535134,-73.96388244628906,40.80818939208984,0
26434402,-73.9578399658203,40.801048278808594,0
7107949,-73.96400451660156,40.8081169128418,0
2045612,-73.96233367919923,40.81023025512695,0
20362327,-73.93408203125,40.802200317382805,0
21967862,-73.95999145507811,40.81372833251953,0
17936454,-73.9641876220703,40.807476043701165,0
7134977,-73.93965911865233,40.79445266723633,0
28659969,-73.96134948730467,40.81174087524414,0
5288253,-73.95281219482422,40.80247116088867,0
25444223,-73.9394302368164,40.80517959594727,0
26418000,-73.96488189697266,40.80686950683594,0
29172111,-73.96051025390625,40.81285858154297,0
29553204,-73.93406677246092,40.80223083496094,0
16497539,-73.95349884033203,40.80204391479492,0
13941195,-73.95877838134764,40.810035705566406,0
21372490,-73.96104431152342,40.81175231933594,0
31766408,-73.9461212158203,40.79248046875,0
910469,-73.91770172119139,40.80387115478516,0
22125406,-73.94146728515625,40.81320571899414,0
15503246,-73.95256805419923,40.79835891723633,0
12556633,-73.94975280761719,40.80213928222656,0
29020318,-73.95452117919923,40.81584930419922,0
4302166,-73.95785522460938,40.80118942260742,0
13769229,-73.93519592285155,40.79610443115234,0
248270,-73.96051025390625,40.80150985717773,0
6252809,-73.96419525146483,40.807987213134766,0
11795819,-73.94580078125,40.81267547607422,0
18933508,-73.93302154541014,40.80352783203125,0
24210743,-73.94425964355469,40.79219818115234,0
11396693,-73.94495391845702,40.79997253417969,0
31075211,-73.94473266601561,40.8089256286621,0
14205238,-73.95246124267578,40.8083381652832,0
21114854,-73.96484375,40.806907653808594,0
6884942,-73.95683288574217,40.8024787902832,0
16924094,-73.96262359619139,40.804969787597656,0
11647500,-73.93651580810547,40.8140106201172,0
27086629,-73.9541473388672,40.801265716552734,0
16465068,-73.9351806640625,40.80094909667969,0
14935193,-73.95965576171875,40.80876922607422,0
30858047,-73.93904876708984,40.80572128295898,0
1781040,-73.95822143554686,40.81599044799805,0
